date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:40	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2020%20Mar%202023%2006:54:39%20GMT	http://layerdrops.com/robots.txt		(from )
12:24:40	55126/55126	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Jul%202020%2011:24:20%20GMT	http://layerdrops.com/agrikol/	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/index.html	(from )
12:24:40	10008/10008	---M--	200	added ('OK')	image/png	etag:%225f0f1246-2718%22	http://layerdrops.com/agrikol/assets/images/favicons/apple-touch-icon.png	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/images/favicons/apple-touch-icon.png	(from http://layerdrops.com/agrikol/)
12:24:40	993/993	---M--	200	added ('OK')	image/png	etag:%225f0f1246-3e1%22	http://layerdrops.com/agrikol/assets/images/favicons/favicon-32x32.png	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/images/favicons/favicon-32x32.png	(from http://layerdrops.com/agrikol/)
12:24:41	493/493	---M--	200	added ('OK')	image/png	etag:%225f0f1246-1ed%22	http://layerdrops.com/agrikol/assets/images/favicons/favicon-16x16.png	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/images/favicons/favicon-16x16.png	(from http://layerdrops.com/agrikol/)
12:24:41	263/263	---M--	200	added ('OK')	application/manifest+json	date:Wed,%2015%20Jul%202020%2014:27:18%20GMT	http://layerdrops.com/agrikol/assets/images/favicons/site.webmanifest	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/images/favicons/site.webmanifest	(from http://layerdrops.com/agrikol/)
12:24:41	83884/83884	---MCZ	200	added ('OK')	text/css	etag:W/%225da856e8-147ac%22	http://layerdrops.com/agrikol/assets/css/animate.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/animate.min.css	(from http://layerdrops.com/agrikol/)
12:24:42	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225d667058-2606e%22	http://layerdrops.com/agrikol/assets/css/bootstrap.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/bootstrap.min.css	(from http://layerdrops.com/agrikol/)
12:24:42	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225dcee1e4-d17%22	http://layerdrops.com/agrikol/assets/css/owl.carousel.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/owl.carousel.min.css	(from http://layerdrops.com/agrikol/)
12:24:42	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%225dcee1ee-3f5%22	http://layerdrops.com/agrikol/assets/css/owl.theme.default.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/owl.theme.default.min.css	(from http://layerdrops.com/agrikol/)
12:24:42	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225db03690-1b27%22	http://layerdrops.com/agrikol/assets/css/magnific-popup.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/magnific-popup.css	(from http://layerdrops.com/agrikol/)
12:24:43	57126/57126	---MCZ	200	added ('OK')	text/css	etag:W/%225e2dc04c-df26%22	http://layerdrops.com/agrikol/assets/css/fontawesome-all.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/fontawesome-all.min.css	(from http://layerdrops.com/agrikol/)
12:24:43	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%225dced4e6-4d42%22	http://layerdrops.com/agrikol/assets/css/swiper.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/swiper.min.css	(from http://layerdrops.com/agrikol/)
12:24:43	9892/9892	---MCZ	200	added ('OK')	text/css	etag:W/%225de54bb6-26a4%22	http://layerdrops.com/agrikol/assets/css/bootstrap-select.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/bootstrap-select.min.css	(from http://layerdrops.com/agrikol/)
12:24:43	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%225e2ef814-a757%22	http://layerdrops.com/agrikol/assets/css/jquery.mCustomScrollbar.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/jquery.mCustomScrollbar.min.css	(from http://layerdrops.com/agrikol/)
12:24:43	15731/15731	---MCZ	200	added ('OK')	text/css	etag:W/%225dce070a-3d73%22	http://layerdrops.com/agrikol/assets/css/bootstrap-datepicker.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/bootstrap-datepicker.min.css	(from http://layerdrops.com/agrikol/)
12:24:44	9459/9459	---MCZ	200	added ('OK')	text/css	etag:W/%225bd7ef90-24f3%22	http://layerdrops.com/agrikol/assets/css/vegas.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/vegas.min.css	(from http://layerdrops.com/agrikol/)
12:24:44	4039/4039	---MCZ	200	added ('OK')	text/css	etag:W/%225df5036a-fc7%22	http://layerdrops.com/agrikol/assets/css/nouislider.min.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/nouislider.min.css	(from http://layerdrops.com/agrikol/)
12:24:44	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%225e25ce8c-58d%22	http://layerdrops.com/agrikol/assets/css/nouislider.pips.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/nouislider.pips.css	(from http://layerdrops.com/agrikol/)
12:24:44	2042/2042	---MCZ	200	added ('OK')	text/css	etag:W/%225eef5196-7fa%22	http://layerdrops.com/agrikol/assets/css/agrikol_iconl.css	C:/xampp/htdocs/newpxi/layerdrops.com/agrikol/assets/css/agrikol_iconl.css	(from http://layerdrops.com/agrikol/)
